Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,1.0812e+06,2.3145e+06,3.3957e+06,0
2,1.1633e+06,2.4251e+06,3.5884e+06,0
3,1.5736e+06,1.155e+06,2.7286e+06,0
4,9.1129e+05,1.132e+06,2.0433e+06,0
5,6.9665e+05,2.1155e+06,2.8122e+06,0
6,8.4246e+05,1.0317e+06,1.8741e+06,0
7,1.4347e+06,2.4476e+06,3.8824e+06,0
8,1.274e+06,2.7429e+06,4.0169e+06,0
9,6.752e+05,4.1316e+05,1.0884e+06,0
10,9.3436e+05,1.1466e+06,2.081e+06,0
11,1.0041e+06,2.5391e+06,3.5432e+06,0
12,1.1159e+06,2.2467e+06,3.3627e+06,0
13,1.1638e+06,2.2665e+06,3.4303e+06,0
14,1.0774e+06,2.2316e+06,3.309e+06,0
15,6.9163e+05,2.1058e+06,2.7974e+06,0
16,1.1804e+06,2.472e+06,3.6524e+06,0
17,6.4747e+05,2.2968e+06,2.9442e+06,0
18,6.9108e+05,7.2818e+05,1.4193e+06,0
19,7.9536e+05,1.4985e+06,2.2938e+06,0
20,1.0797e+06,2.3342e+06,3.4139e+06,0
21,1.0945e+06,1.7213e+06,2.8158e+06,0
22,1.1934e+06,2.6124e+06,3.8057e+06,0
23,1.8058e+06,2.5538e+06,4.3596e+06,0
24,9.4799e+05,1.2068e+06,2.1548e+06,0
25,1.0961e+06,7.9386e+05,1.89e+06,0
26,1.1429e+06,2.4625e+06,3.6054e+06,0
27,8.9608e+05,2.1421e+06,3.0382e+06,0
28,1.0237e+06,1.3886e+06,2.4123e+06,0
29,2.1374e+06,2.4191e+06,4.5565e+06,0
30,6.7803e+05,6.9993e+05,1.378e+06,0
31,1.5525e+06,2.8439e+06,4.3964e+06,0
32,1.1696e+06,2.8485e+06,4.0181e+06,0
33,1.1993e+06,9.2271e+05,2.122e+06,0
34,8.8126e+05,1.0042e+06,1.8855e+06,0
35,8.7951e+05,2.2119e+06,3.0914e+06,0
36,8.582e+05,9.6671e+05,1.8249e+06,0
37,8.1537e+05,1.5505e+06,2.3659e+06,0
38,1.0826e+06,1.7891e+06,2.8718e+06,0
39,1.3502e+06,2.2589e+06,3.609e+06,0
40,9.5497e+05,1.1911e+06,2.1461e+06,0
41,1.2984e+06,2.0843e+06,3.3827e+06,0
42,7.285e+05,8.9724e+05,1.6257e+06,0
43,8.4421e+05,8.8212e+05,1.7263e+06,0
44,8.1104e+05,9.3826e+05,1.7493e+06,0
45,6.234e+05,3.9597e+05,1.0194e+06,0
46,1.1592e+06,2.3523e+06,3.5115e+06,0
47,1.0034e+06,1.4182e+06,2.4217e+06,0
48,1.2766e+06,2.997e+06,4.2735e+06,0
49,1.0834e+06,1.2499e+06,2.3333e+06,0
50,1.1227e+06,2.0491e+06,3.1718e+06,0
51,6.1674e+05,6.4499e+05,1.2617e+06,0
52,1.0351e+06,1.6429e+06,2.678e+06,0
53,9.3875e+05,2.2409e+06,3.1796e+06,0
54,1.0424e+06,1.4399e+06,2.4823e+06,0
55,1.0841e+06,2.1299e+06,3.214e+06,0
56,1.1387e+06,2.0018e+06,3.1404e+06,0
57,1.4754e+06,2.3687e+06,3.8441e+06,0
58,1.1927e+06,1.9014e+06,3.0942e+06,0
59,7.674e+05,1.2576e+06,2.025e+06,0
60,9.8909e+05,1.3894e+06,2.3785e+06,0
61,1.2489e+06,2.2673e+06,3.5162e+06,0
62,1.2086e+06,2.4865e+06,3.6951e+06,0
63,1.0994e+06,2.3006e+06,3.4e+06,0
64,1.132e+06,2.3991e+06,3.5311e+06,0
65,1.3186e+06,2.543e+06,3.8615e+06,0
66,1.0083e+06,2.1111e+06,3.1194e+06,0
67,3.9849e+05,1.9434e+06,2.3419e+06,0
68,1.0816e+06,2.4267e+06,3.5083e+06,0
69,1.0612e+06,2.3721e+06,3.4333e+06,0
70,1.0413e+06,2.1778e+06,3.2191e+06,0
71,1.2312e+06,2.4331e+06,3.6643e+06,0
72,1.1837e+06,2.4589e+06,3.6426e+06,0
73,1.2105e+06,2.2898e+06,3.5003e+06,0
74,1.2245e+06,2.52e+06,3.7445e+06,0
75,8.3365e+05,2.0485e+06,2.8822e+06,0
76,1.1392e+06,2.4089e+06,3.5481e+06,0
77,8.6657e+05,2.1148e+06,2.9813e+06,0
78,1.0312e+06,2.0997e+06,3.131e+06,0
79,1.4177e+06,2.3184e+06,3.736e+06,0
80,1.1194e+06,2.276e+06,3.3954e+06,0
81,1.231e+06,2.4107e+06,3.6417e+06,0
82,1.1132e+06,2.3445e+06,3.4577e+06,0
83,1.2274e+06,2.0646e+06,3.292e+06,0
84,1.0698e+06,2.2068e+06,3.2765e+06,0
85,9.7011e+05,2.3327e+06,3.3028e+06,0
86,1.1428e+06,2.4233e+06,3.5662e+06,0
87,1.161e+06,2.3279e+06,3.4889e+06,0
88,1.0541e+06,2.2026e+06,3.2567e+06,0
89,1.0848e+06,1.9602e+06,3.045e+06,0
90,1.1665e+06,2.3897e+06,3.5562e+06,0
91,3.4492e+05,1.9049e+05,5.3541e+05,1
92,9.6131e+05,1.2538e+06,2.2151e+06,1
93,9.5481e+05,2.5957e+06,3.5505e+06,1
94,4.6294e+05,4.4319e+05,9.0613e+05,1
95,3.7881e+05,3.9451e+05,7.7333e+05,1
96,1.0877e+06,1.5433e+06,2.631e+06,1
97,8.9975e+05,1.2236e+06,2.1233e+06,1
98,1.218e+06,2.4954e+06,3.7135e+06,1
99,5.6261e+05,3.4934e+05,9.1195e+05,1
100,4.2062e+05,4.1813e+05,8.3875e+05,1
